Feature_Set,Model,Sampling,Best_Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP,Num_Features_Before_Encoding
Business_Features_No_Total_Revenue,XGBoost,RandomUnderSampler,0.66,84.4,69.3,73.8,71.5,89.8,913,122,98,276,24
Business_Features_No_Total_Revenue,XGBoost,RandomOverSampler,0.61,83.5,66.0,77.8,71.4,89.8,885,150,83,291,24
Business_Features_No_Total_Revenue,XGBoost,SMOTE,0.57,83.6,66.7,76.5,71.2,89.9,892,143,88,286,24
Base_Plus_Business_Features,XGBoost,None,0.35,83.0,64.8,78.6,71.0,89.9,875,160,80,294,26
Behavior_And_Service_Focused,Gradient Boosting,None,0.34,82.8,64.4,78.9,70.9,89.7,872,163,79,295,20
Base_Without_Total_Revenue,XGBoost,SMOTE,0.64,83.8,67.9,74.1,70.8,89.9,904,131,97,277,10
Business_Features_No_Total_Revenue,Gradient Boosting,RandomUnderSampler,0.66,84.0,68.8,73.0,70.8,89.8,911,124,101,273,24
Base_Plus_Business_Features,XGBoost,SMOTE,0.56,83.1,65.5,77.0,70.8,89.7,883,152,86,288,26
Business_Features_No_Total_Revenue,LightGBM,SMOTE,0.48,83.0,65.0,77.5,70.7,89.4,879,156,84,290,24
Base_Without_Total_Revenue,XGBoost,None,0.43,84.2,69.8,71.7,70.7,90.0,919,116,106,268,10
Base_Plus_Business_Features,XGBoost,RandomOverSampler,0.57,82.5,63.6,79.4,70.6,89.8,865,170,77,297,26
Business_Features_No_Total_Revenue,XGBoost,None,0.37,83.1,65.6,76.5,70.6,90.0,885,150,88,286,24
Behavior_And_Service_Focused,XGBoost,None,0.33,82.3,63.0,80.2,70.6,89.6,859,176,74,300,20
Business_Features_No_Total_Revenue,Gradient Boosting,SMOTE,0.57,83.2,65.9,75.9,70.6,89.7,888,147,90,284,24
Business_Features_No_Total_Revenue,Gradient Boosting,None,0.3,82.0,62.5,81.0,70.5,90.0,853,182,71,303,24
Base_Without_Total_Revenue,Gradient Boosting,RandomOverSampler,0.62,83.0,65.2,76.7,70.5,89.8,882,153,87,287,10
Base_Plus_Business_Features,Gradient Boosting,RandomOverSampler,0.6,82.8,64.8,77.3,70.5,89.7,878,157,85,289,26
Behavior_And_Service_Focused,XGBoost,SMOTE,0.52,82.4,63.5,79.1,70.5,89.4,865,170,78,296,20
Base_Without_Total_Revenue,Gradient Boosting,RandomUnderSampler,0.68,84.1,69.5,71.4,70.4,89.7,918,117,107,267,10
Base_Without_Total_Revenue,Gradient Boosting,None,0.37,82.9,65.1,76.7,70.4,90.0,881,154,87,287,10
Base_Plus_Business_Features,Gradient Boosting,None,0.3,82.0,62.4,80.7,70.4,89.9,853,182,72,302,26
Base_Without_Total_Revenue,XGBoost,RandomUnderSampler,0.65,83.5,67.1,74.1,70.4,89.7,899,136,97,277,10
